NAMESPACE       NAME                     READY   STATUS    RESTARTS   AGE
a-nabixojayev   busybox                  1/1     Running   0          24m
a-nabixojayev   hr-app-db6b5548c-fk6jt   1/1     Running   0          34m
a-nabixojayev   hr-app-db6b5548c-j4gx5   1/1     Running   0          19m
a-nabixojayev   nginx1                   1/1     Running   0          64m
a-nabixojayev   nginx2                   1/1     Running   0          63m
a-yoldoshov     nginx1                   1/1     Running   0          59m
a-yoldoshov     nginx2                   1/1     Running   0          58m
d-djuraev       nginx1                   1/1     Running   0          33m
d-djuraev       nginx2                   1/1     Running   0          33m
f-absoatov      nginx1                   1/1     Running   0          47m
f-absoatov      nginx2                   1/1     Running   0          47m
f-sadatov       nginx1                   1/1     Running   0          63m
f-sadatov       nginx2                   1/1     Running   0          61m
i-abdullayev    nginx1                   1/1     Running   0          61m
i-abdullayev    nginx2                   1/1     Running   0          61m
j-jumanazarov   nginx1                   1/1     Running   0          49m
j-jumanazarov   nginx2                   1/1     Running   0          49m
j-turdiev       nginx1                   1/1     Running   0          28m
j-turdiev       nginx2                   1/1     Running   0          28m
m-shukurjonov   nginx1                   1/1     Running   0          70m
m-shukurjonov   nginx2                   1/1     Running   0          66m
o-toshev        nginx1                   1/1     Running   0          70m
o-toshev        nginx2                   1/1     Running   0          70m
r-shokirov      nginx1                   1/1     Running   0          51m
r-shokirov      nginx2                   1/1     Running   0          46m
x-sagatov       nginx1                   1/1     Running   0          59m
x-sagatov       nginx2                   1/1     Running   0          59m
x-umarov        nginx1                   1/1     Running   0          18m
x-umarov        nginx2                   1/1     Running   0          18m
z-abduvohidov   nginx1                   1/1     Running   0          41m
z-abduvohidov   nginx2                   1/1     Running   0          40m
